"sector-type","post_title","p_owner","p_client","disciplines","p_location","scope_of_work","project-category","p_status","p_start_date","p_end_date","p_year","feature image","feature image_url"
"Petrochemical","LSTK Project for Cold Box Replacement in Olefin-II ","SABIC","PetroKemya","Plant Services","Jubail","The detailed SOW includes: 
- Construction of new foundations (02 off) for cold box, Coalescers, Instrument Racks & Lamp post. 
- Installation of Coalescers, PSV platforms with related Piping, Civil & Steel works. 
- Ground preparation for heavy lifting, modification in fence type gate for new cold box entry, removal of perlite/filling, structure, earthing, piping, and other necessary equipments from existing cold box. 
- Installation of new cold box, steel structures, supports, piping with NDT, painting, insulation, perlite filling, monorail, conduit and accessories, power and control cables, trays, lighting JBs, Tubing, various instruments, Thermowell, multicore & single pair cables, and DCS/ESD & firefighting system etc. ","Major","Ongoing","Oct-19","Jan-20","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/15.png"
"Petrochemical","LSTK Project for Upgrade LP steam Control Valve (PV-1703) at OLF-II TA-2019 ","SABIC","PetroKemya","Plant Services","Jubail","The detailed SOW includes: 
- Demolition of Existing 36” Pipe line 22mtrs
- Removal of 24” Isolation valve and 22” Control Valve.
- Modification of existing line and Installation of 30” Control valve.
- Supply, fabrication and installation of new line along with the insulation works 
- Supply, fabrication and erection of steel structure related to modification job.
- Painting and Installation of new Control Valve and Pressure Transmitter.","Normal","Ongoing","Oct-19","Dec-19","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/15.png"
"Petrochemical","Additional Piping, Valves and DCR Repair Services for 3EG & 3UTL during TAM 2019","SABIC","Sharq","Plant Services","Jubail","The project scope includes to piping & valves replacement, removal of existing pipe line & valves, fabrication of new pipe line as per IFC, Installation of  pipe line, installation of valves, NDT &  painting in SHARQ Plant
Jubail","Normal","Ongoing","Sep-19","Dec-19","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/13.png"
"Petrochemical","Pre-Fabrication, Repair & Replacement of Pipelines during VCM T/A’2019","SABIC","PetroKemya","Plant Services","Jubail","The Scope include the site verification and preparation of isometric for the line to be replaced, Pre-fabrication of lines at SENDAN workshop facility, repair/ replacement of old lines and installation of new lines during VCM Plant Turnaround scheduled in October 2019. Total Dia-inches is approx. 4,000; SAFERAD and Radiography crew is considered, Hydro/pneumatic testing of lines, external sand blasting and Painting of prefabricated pipe spools and cold cutting activities.  ","Normal","Ongoing","Sep-19","Apr-20","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/15.png"
"Petrochemical","To Replace the existing heater with design improvements Project phase II , Construction Services","SABIC / IBN ZAHR","Tecnicas Reunidas","Plant Services","Jubail","The Project Scope includes the replacement services for Heat Exchanger. The Brief scope of work is Demolition of Insulation, Demolition of Insturment, Demolition of Spools, Installation of new Heater, Installation of Bricks & Mortar, Installation of Piping & associated components, Installation of Tray, cables, JB & Panels, Cable Termination, of Insulation, Painting & Touchup, NDT, Testing & commissioning","Normal","Ongoing","Aug-19","","","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/8.png"
"Mining & Minerals","Boiler FW PHE Perf Measurement Instrument","MA'ADEN","Ma'aden Aluminium","Plant Services","Ras Al-Khair","The Project Scope includes Civil / Structural, Mechancial & Piping, Electrical & Instrumentation works","Normal","Ongoing","Sep-19","Dec-19","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/20.png"
"Petrochemical","RIK for Tube Bundle - Ethane Recycle Emergency Heater 11E114 at Ethylene Plant","SABIC","Sadaf","Heat Exchanger Maintenance Services","Jubail","The project scope is Procurement of materials, fabrication, testing and supply for 
Tube Bundle – Ethane Recycle Emergency heater (11-E-114) with all materials,
consumables, tools   like-to-like as per provided drawings and datasheet by
SADAF","Normal","Ongoing","Jul-19","Oct-19","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/3.png"
"Mining & Minerals","General Construction Services Contract (LFC)","MA'ADEN","Ma'aden Aluminium","Plant Services","Ras Al-Khair","The project scope is to execute the General services contract for MAADEN Aluminium
for 3 years. The major works included in this contract are as under, procurement, Fabrication, installation, precommissioning, commissioning etc. for various discipline, Civil & Structure Works, Piping Works & Equipment Works, Electrical works & Instrumentation & control Systems, DCS, Painting & Insulation, Scaffolding Works","Normal","Ongoing","Jul-19","Jul-22","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/18.png"
"Mining & Minerals","Blending of MPC & MWSPC Phosphoric Acid","MA'ADEN","Ma'aden Phosphate","Plant Services","Ras Al-Khair","The Scope of Work covered under this project is to carry out the, Procurement,
Installation/Construction, Tie-Ins, Testing, Pre-commissioning & Commissioning, Civil Structure works, Mechanical & Piping Works, E&I Works for Blending of MPC & MWSPC Phosphoric acid at Ma’aden Phosphate
Company Plant.","Major","Ongoing","Jul-19","Nov-20","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/20.png"
"Water","Product Water By-Pass Header for Marafiq & SWCC Export Lines","MARAFIQ","JWAP","Construction Services","Jubail","The scope of work includes Design & Engineering, Procurement, Construction / Installation, Testing, Pre-Commissioning for all Pipes, Equipment, Cabling, Structures & Supports for completion of the project. The brief scope of work includes, Procurement of Piping & Valves, Fabrication works, Cement Lining Works, Painting & Coating, Erection & Installation of Piping & Supports, NDT, Installation of Valves, Tie-Ins, Hydrostatic Testing,  Site Surveying, Demolition of Existing Pavement, Excavation, Lean Concrete, Disposing, Reinstatement of Pavement, Civil Foundation, Construction of Valve Chamber, Laying of cables & Termination, Tube & Fittings, Earthing of Equipments, Testing & Commissioning.","Major","Ongoing","July 2019","March 2020","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/4.png"
"Oil & Gas","Gas Compression Facilities Expansion, Safaniyah","Saudi Aramco","Safaniyah","Plant Services","Safaniyah","- Engineering, procurement and Construction activities for Jump-over line, filtration system, associated plant & utility piping, power supply system, and process control system. 
- Civil and Structural works include demolition of existing concrete pavement, excavation, grading, radar mapping, site development, steel fabrication of pipe racks, pipe supports, and platforms. 
- Installation of Filtration Package/Skid with associated piping and supports. 
- Electrical and instrumentation works such as power supply to new skid, cables, conduits, trays, field instruments (flow, level, pressure, vibration, temperature meters) and DCS modification works. 
- Installation of fire protection system to protect the black powder filters inside the plant. ","Major","Ongoing","June 2019","December 2020","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Piping, DCRs and Valves Package for Olefins TAM’2020","SABIC","Sharq","Plant Services","Jubail","The SOW includes removal of existing pipe lines, fabrication of pipe line as per IFC, Installation of pipe line, SAFE RAD of joints, sand blasting & painting, NDT of workshop joints, removal & cutting of the valves, installation of valves, scaffolding erection/removal along with materials, insulation removal and re-installation, cold cutting, machining, hydro-testing of new lines, and PWHT HP Steam Valves - 03 Nos","Normal","Ongoing","October 2019","February 2020","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/13.png"
"Oil & Gas","MFC  for Upgrade of 2.4kv Field Switches with 13.8kv and Procure of 2 Existing Obsolete 2.4kv Breaker","Saudi Aramco","Ras Tanura","Electrical Maintenance, Testing & Commissioning Services","Ras Tanura","The Project Scope is to carry out Complete Electrical works for upgrading the electrical power system at West Pier.  The details scope of work includes,  Evaluate and calculate the load requirements including existing equipment and all new equipment of 2.4KV Field Switches with 13.8 Kv and Procure of 2 Existing Obsolete 2.4kv Breaker.  Supply and installation of 12 No's of SF 6 switches (13.8 Kv Volts), 2 No's of 2.4 Kv rolling breakers for spares & Conduit and fittings installation. Excavate and lay power cable from the 5.0 k Volts power panel to all portable offices, all existing and new equipment. ","Normal","Ongoing","June 2019","June 2020","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Repair Monel Chutes & Centrifuge during EDC TA'19","SABIC","SADAF","Plant Services","Jubail","The scope of work includes,  Sand blasting for chutes to remove any Belzona and other contaminations and Bottom casing flange to remove any Belzona and other contaminations. Perform Neutralization (to remove Caustic) for all weld joints & surface cracks for chutes & centrifuge bottom casing flange. Perform weld seam repairs and cracks repairs as per findings. Plates/flanges replacements may also be required as per findings or crack during repair work. Drilling for chute flanges with bottom casing flange. Weld build up and machining for centrifuge bottom casing flanges, as per findings (ensure flatness for flanges, to avoid any leakage). Perform DPT after final weld repairs and machining. Drilling and tapping for centrifuge bottom flange holes.","Normal","Ongoing","June 2019","July 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/3.png"
"Petrochemical","Major Piping Fabrication & Replacement EDC T/A-2019","SABIC","SADAF","Plant Services","Jubail","The SOW includes Replacement of Piping during EDC T/A scheduled on June-2019. Piping replacement is on 32C8-Cl2 relief header, 32C508 relief header, 32C502 to 32K501 and 32K501 to 32V597 through 32E506/505, Emergency neutralization header, WET KAPA from 32V33/32V121 to 36IN2. Moreover, it includes cold cutting, removal of old pipe, connected valves and reinstallation after the new pipe laying. ","Normal","Ongoing","June 2019","July 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/3.png"
"Mining & Minerals","Procurement & Construction of 40% product acid transfer line size enhancement from 4"" to 6"" in PAP Train B & A","MA'ADEN","Ma'aden Phosphate","Plant Services","Ma'aden","The project scope includes to piping & valves replacement and demolishing of existing pipe line & valves, fabrication of new pipe line as per IFC, Installation of new pipe line, installation of valves, NDT & painting, Installation of Flow Transmitter & Cabling work at MA’ADEN Plant, NDT, Painting, sand basting, scaffolding and hydro testing, commissioning, disconnecting / removal existing cable, supply & laying of new cables, termination of cables.","Normal","Ongoing","June 2019","April 2020","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/20.png"
"Petrochemical","EPC LSTK for Power System Protection Upgrade in IBB (IBB Relay Project) SP-173100122","SABIC","Ibn Al-Baytar","Electrical Maintenance, Testing & Commissioning Services","Jubail","The scope of work includes Engineering, Procurement & construction. The details scope of work includes supply, installation, Testing and Commissioning of Transformer differential Relay for T/F differential Protection, Feeder Protection O/C Relay for Feeder Protection, Motor Feeder Protection Relays for Feeder Protection, Earth leakage Relays, LV MCCBs, new Switchgear and associated Bus duct in substation. ","Major","Ongoing","June 2019","July 2020","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/8.png"
"Petrochemical","Torqueing and Tensioning Subcontract for Sadara Project","SADARA","KBR Al Yusr Ltd","Bolt Integrity Solutions","Jubail","The scope of work of includes supply of certified technician and suitable equipment to carryout bolt torqueing & Tensioning jobs at SADARA plant.","Normal","Ongoing","May 2019","May 2022","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Petrochemical","Piping Recommendation 3'' BFW Line // Ar-Razi Emergency Requirement ","SABIC","Ar-Razi","Plant Services","Jubail","The project scope is to carry out the replacement work for the 3” BFW line in AR-RAZI. The replacement works involve 24-meter pipe, 11 elbows and 2 pipe supports.","Normal","Ongoing","May 2019","September 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/11.png"
"Petrochemical","Scaffolding Services (Pro-Forma Contract) in Sadara (LFC 4 Years)","SADARA","SADARA","Scaffolding Services","SGPD","The scope of work is to provide necessary personnel, scaffolding materials, supervision and transportation for the provision of scaffolding services in all SADARA plants. The details work includes rigging, erection and dismantling of tower built scaffolding, independent tied scaffolding, suspended scaffolding, mobile tower scaffolding, Vessel/Column/tank exterior scaffolding and vessel/column/tank interior scaffolding and the provision of scaffolding maintenance services including site cleanup.","Normal","Ongoing","May 2019","May 2023","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Oil & Gas","To Provide Scaffolding Services for SGPD's Facilities","Saudi Aramco","SGPD","Scaffolding Services","SGPD","The scope of work is to provide scaffolding services at SGPD's plants and other locations such as off-plot pipelines, valves & welheads. ","Normal","Ongoing","May 2019","May 2021","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","EPC LSTK for Replacement of DEG/TEG/MEG and Service Water Pipelines at Tank Farm and Loading Bay in Sabtank Jubail","SABIC","Sabtank Jubail","Plant Services","Jubail","The SOW includes designing, engineering, procurement, installation and testing and comissioning of various works such as: The Major SOW for TEG piping lines includes demolition & replacement only. Scope for DEG piping lines includes demolition & replacement also. MEG piping lines also includes demolition & replacement scope. It also includes MEG Service Water Lines demolition, replacement and painting activities. Other activates includes manual excavation, associated civil works, dewatering, concrete duck bank, concrete thrust block etc. Electrical works includes supply of power system to the new cathodic protection (CP) system for the major lines and service water lines. Instrumentation works includes dismantling and re-use of existing instruments, calibration as well as DCS and ESD support. ","Major","Ongoing","April 2019","April 2020","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Oil & Gas","Scaffolding Dismantling JIGCC Utilities, Common Area Package 5 project","Saudi Aramco","Sinopec SEG","Scaffolding Services","Jazan","Scope of work include, Dismantling of Scaffolding at Jazan Refinery.","Normal","Completed ","March 2019","April 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Rental Services for BRM Offices, Ablution Units during PP2 SD'2019","SABIC","IBN-ZAHR","Blast Resistant Modules","Jubail","The project scope includes Supply of blast proof cabins (02 Nos.) and ablution block (01 No.) on rental basis for PP2 shutdown in Ibn Zahr.  Supply of power Generator (50 KVA) along with cable connections for each BRM's.","Normal","Completed","March 2019","April 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/11.png"
"Oil & Gas","Replace 69KV Cables from Substation # 90 to Substation # 54 ","Saudi Aramco","Ras Tanura","Electrical Maintenance, Testing & Commissioning Services","Ras Tanura","The scope of work includes replacement of existing two 69 KV circuit Feeder cable from Sub#90 up to primary side of the existing Transformers at Sub#54. Supply of six GIS sealing and outdoor for 69 KV cable. Perform cable pulling work, cable splicing, de-gassing, testing & commissioning.","Normal","Completed","April 2019","May 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","General Construction Services ( Multi-Discipline Construction / Installation) (LFC 5 Years)","SABIC","SABIC Global","Plant Services","KSA","Mechanical Scope includes Piping Supply, Fabrication and Erection (including cutting / beveling / fit-up / welding / testing etc.). Supply, Fabrication and installation works for pipe supports and installation of valves, erection of Static Equipment & Rotary Equipment. Painting, insulation, NDT and demolition works. Scaffolding erection and dismantling. 
Civil scope includes Excavation, Disposal of contaminated soil and other material, Backfilling, compaction and Dewatering, Concrete work (Foundations, Concrete superstructures, Concrete boxes and box covers, Concrete Drainage channels, Concrete cover for channels, etc.) HDPE liner installation, Architectural work, Masonry work, Water proofing, Grouting (Non-shrink grout, epoxy grout), U/G sewer pipe laying, Paving and roads (concrete/asphalt), Fencing work, Fireproofing for Steel Structure, Supply, Fabrication and erection of Steel Structure
Electrical & Instrumentation Scope includes Power cable laying, Cable tray installation, Conduit installation, Transformer installation, Motor installation, Switch Gear, DP, MCC, JB and DB installation, lighting fixture installation, Receptacle and disconnect switches installation, grounding works, Glanding and termination, testing of electrical items. SS tube installation. Transmitter installation, Control valve and safety valve installation, Analyzer Installation, Switches and relay installation, Indicators, controller, JB, Control cabinet and control panel installation. Testing and commissioning works, DCS configuration.","Major","Ongoing","March 2019","March 2024","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Oil & Gas","Provision of Certified Scaffolding Inspector","SAMREF","SAMREF","Scaffolding Services","Yanbu","Scope of work includes supply of scaffolding Inspectors (TUV) for SAMREF plant.","Normal","Ongoing","April 2019","April 2024","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/25.png"
"Oil & Gas","Mechanical Support for Rotary Equipment Overhauling for PH-3 T/A 2019","SABIC","Gas Jubail","Plant Services","Jubail","SOW is related to Mechanical Support for Rotary Equipment Overhauling mentioned below:
Overhauling of MAC (31-K-001) & Lube oil system 
Overhauling of O2 Compressor (31-K-002-A/B) & Lube oil system Cleaning 
Re-adjustment of Expansion Turbines (31-ET-001-A/B) 
Inspection of MAC Coolers & Inlet Filter-New rollomatic and Duracell Cleaning
Cleaning of O2 Compressors Coolers & O2 pipelines ","Normal","Completed ","March 2019","April 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/14.png"
"Oil & Gas","2019 TRS Scaffolding works Riyadh Refinery","Saudi Aramco","Riyadh Refinery","Scaffolding Services","Riyadh","The scope of work includes supervision, manpower, equipment, transportation, offices, catering and accommodation, materials. The services required to design,  transport, erect, disassemble scaffolding based on Saudi Aramco representative request.","Normal","Ongoing","April 2019","March 2021","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Voltage Conversion at HDGOSP-2","Saudi Aramco","HDGOSP-2","Electrical Maintenance, Testing & Commissioning Services","Haradh","The project scope includes to replace the existing voltage of 208/120V power distribution system to new 400/230V system for Non-industrial buildings and switchgear building at Haradh GOSP-2 facilities.","Normal","Ongoing","April 2019","January 2022","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Annual Maintenance Contract for Mechanical, Welding & Fabrication Services ","SABIC","Gas Yanbu","Plant Services","Jubail","The scope of work cover all welding, machining and fabrication activities which needed in GAS Yanbu plant. It is a unit rate contract and materials include such as Aluminum, stainless steel and carbon steel for construction. ","Normal","Ongoing","April 2019","April 2020","Jul-05","",""
